date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
20141016T000000,3,1.75,3670,11884,1.0,0,2,4,9,1950,1720,1979,0,98006,47.5604,-122.133,3020,9747
20150226T000000,3,2.0,1200,10212,1.5,0,0,5,6,1200,0,1949,0,98022,47.206,-121.998,1280,10212
20150127T000000,2,2.5,1611,2210,2.0,0,2,3,10,1611,0,2005,0,98109,47.6291,-122.347,2070,2182
20140502T000000,2,1.0,880,6380,1.0,0,0,3,7,880,0,1938,1994,98115,47.6924,-122.322,1340,6380
20140514T000000,3,2.5,1780,7214,1.0,0,0,4,7,1400,380,1986,0,98030,47.3667,-122.182,1520,7228
20150225T000000,3,1.75,1490,5000,1.0,0,1,3,8,1250,240,1954,0,98136,47.5257,-122.392,1980,5000
20150424T000000,2,1.0,1800,8900,1.0,0,0,3,6,900,900,1945,0,98168,47.51,-122.323,2040,10450
20150211T000000,3,1.75,1920,9512,1.0,0,0,3,8,1440,480,1980,0,98011,47.7606,-122.167,1820,9512
20150202T000000,4,2.25,1960,14834,1.0,0,0,4,8,1330,630,1976,0,98072,47.7434,-122.095,1540,15000
20141001T000000,4,2.75,2130,8560,1.0,0,0,3,7,1560,570,1992,0,98022,47.1949,-122.01,2130,8560
20150206T000000,3,1.75,1780,8033,1.0,0,0,2,7,1210,570,1977,0,98034,47.7275,-122.219,1630,7508
20140612T000000,4,2.5,1910,9244,1.0,0,0,4,6,1910,0,1963,0,98059,47.4918,-122.141,2590,9286
20150421T000000,4,2.5,2650,5000,2.0,0,0,3,8,2650,0,2007,0,98116,47.5605,-122.396,1110,6250
20140821T000000,4,3.0,3500,13444,2.0,0,0,3,10,2360,1140,1977,0,98040,47.5468,-122.231,3140,12935
20150324T000000,3,1.75,2570,14033,1.0,0,2,4,8,2570,0,1953,0,98166,47.4335,-122.338,2550,16100
20140523T000000,3,1.75,1620,7540,1.0,0,0,3,7,1310,310,1988,0,98038,47.3635,-122.052,1580,7540
20140625T000000,3,1.75,1870,9000,1.0,0,0,5,9,1870,0,1958,0,98177,47.7203,-122.361,2030,8160
20150204T000000,3,2.25,1660,8188,2.0,0,0,4,7,1660,0,1988,0,98042,47.3766,-122.115,1660,7000
20141001T000000,3,2.25,2360,5504,2.0,0,0,4,8,2080,280,1913,0,98122,47.617,-122.288,2840,5470
20150123T000000,3,1.0,1460,5825,1.0,0,0,5,5,1260,200,1942,0,98056,47.4958,-122.191,1150,5926
20140620T000000,5,2.75,3260,11700,1.0,0,0,3,8,1630,1630,1964,0,98008,47.6169,-122.104,2860,11700
20140610T000000,3,1.5,1290,1286,3.0,0,0,3,7,1290,0,2000,0,98103,47.6617,-122.349,1720,1286
20150414T000000,3,2.0,1390,7120,1.0,0,0,3,7,1390,0,1988,0,98030,47.3786,-122.179,1530,7688
20140627T000000,2,1.5,1640,4080,1.5,0,0,5,7,1540,100,1916,0,98105,47.6624,-122.325,1880,4080
20150302T000000,3,1.0,1310,15022,1.0,0,0,3,7,1310,0,1934,1984,98168,47.5008,-122.332,1530,13154
20140514T000000,4,2.5,2310,14023,2.0,0,0,3,9,2310,0,1991,0,98019,47.7351,-121.964,2410,14007
20150408T000000,4,2.25,2570,11070,2.0,0,0,4,8,2570,0,1966,0,98058,47.4507,-122.152,2210,9600
20140822T000000,3,2.0,2730,15677,2.5,0,3,3,9,2730,0,1976,0,98166,47.4612,-122.365,2040,12209
20150506T000000,2,1.5,1170,1250,3.0,0,0,3,8,1170,0,2000,0,98107,47.6719,-122.38,1310,1308
20150323T000000,5,3.5,3890,13261,2.0,0,1,3,9,2870,1020,1984,0,98125,47.7246,-122.284,3080,13261
20150205T000000,3,2.5,3190,7828,2.0,0,0,3,9,3190,0,2006,0,98059,47.5047,-122.144,2970,7828
20150218T000000,3,1.0,1040,7405,1.0,0,0,4,6,1040,0,1971,0,98010,47.3105,-122.021,1580,7405
20150315T000000,2,1.0,950,4800,1.0,0,0,3,6,950,0,1941,0,98144,47.5864,-122.301,1420,5400
20141218T000000,2,1.0,1180,10200,1.0,0,0,4,7,1180,0,1955,0,98148,47.4358,-122.336,1330,10200
20141029T000000,10,2.0,3610,11914,2.0,0,0,4,7,3010,600,1958,0,98006,47.5705,-122.175,2040,11914
20150330T000000,4,2.5,3060,7710,2.0,0,0,3,9,3060,0,2009,0,98059,47.4828,-122.136,3040,7840
20141014T000000,2,1.5,1180,1722,2.0,0,0,3,8,1180,0,2006,0,98116,47.5626,-122.384,1490,1469
20150304T000000,5,3.75,6810,7500,2.5,0,0,3,13,6110,700,1922,0,98102,47.6285,-122.322,2660,7500
20141105T000000,3,1.0,1310,22652,1.0,0,0,3,7,1310,0,1968,0,98092,47.2574,-122.072,1600,103672
20140911T000000,4,3.5,2840,40139,1.0,0,4,4,10,2840,0,1986,0,98038,47.401,-122.026,3180,36852
20141125T000000,3,1.75,1560,7424,1.0,0,0,5,8,1560,0,1940,0,98117,47.6981,-122.374,1370,7424
20140929T000000,4,2.5,3860,5130,2.0,0,0,3,8,2930,930,2004,0,98065,47.5387,-121.879,3130,6163
20140623T000000,3,2.25,1520,1245,3.0,0,0,3,8,1520,0,2004,0,98103,47.6907,-122.34,1520,1470
20140527T000000,3,2.5,2610,7256,2.0,0,0,3,9,2610,0,2014,0,98033,47.695,-122.18,2610,7206
20141120T000000,5,4.25,3970,4500,2.0,0,0,3,9,2860,1110,2004,0,98027,47.5402,-122.069,3480,4500
20140506T000000,3,2.5,2460,54885,2.0,0,0,4,8,2460,0,1980,0,98059,47.4996,-122.146,2770,21407
20141229T000000,3,2.25,1646,12414,2.0,0,0,3,7,1646,0,1996,0,98038,47.363,-122.035,1654,8734
20140926T000000,5,3.75,3570,10125,2.0,0,0,3,10,3570,0,2014,0,98040,47.5639,-122.223,1760,10125
20150212T000000,3,2.5,2280,18241,1.0,0,0,3,9,960,1320,1995,0,98011,47.7453,-122.213,3100,12465
20150401T000000,3,3.25,1720,1977,2.0,0,0,3,8,1360,360,2007,0,98122,47.6127,-122.299,1720,3420
20150316T000000,3,2.5,1750,3900,2.0,0,0,3,8,1750,0,1977,0,98052,47.6638,-122.129,1750,5700
20150116T000000,4,2.0,1770,3332,2.0,0,0,3,7,1630,140,1924,1975,98118,47.5563,-122.281,1640,4000
20150213T000000,3,2.5,2190,7904,2.0,0,0,3,8,2190,0,1995,0,98092,47.2617,-122.21,2190,7669
20150222T000000,4,2.5,3181,5831,2.0,0,0,3,8,3181,0,2014,0,98003,47.2716,-122.297,2056,24393
20150428T000000,2,1.0,1410,7000,1.0,0,0,3,7,1410,0,1968,0,98055,47.4908,-122.223,1540,6000
20150306T000000,3,1.0,1010,7384,1.0,0,2,5,6,1010,0,1943,0,98056,47.4905,-122.191,1010,8000
20140519T000000,3,1.75,1800,10200,1.0,0,0,3,8,1800,0,1967,0,98058,47.4496,-122.146,2140,10128
20150422T000000,2,1.0,940,5000,1.0,0,0,4,7,940,0,1937,0,98117,47.6879,-122.385,1560,4500
20141023T000000,4,2.5,1620,5280,2.0,0,0,4,7,1620,0,1924,1971,98146,47.5132,-122.384,1590,5280
20150105T000000,4,1.5,1730,7700,1.0,0,0,4,7,1010,720,1963,0,98059,47.4996,-122.163,1650,8066
20140709T000000,4,2.5,3360,15091,2.0,0,0,3,9,3360,0,1997,0,98052,47.6649,-122.135,1930,9936
20140516T000000,4,2.0,1510,4235,1.0,0,0,3,7,1510,0,1955,0,98108,47.546,-122.293,1510,4268
20141210T000000,3,2.25,2400,16301,1.0,0,0,3,8,1400,1000,1962,0,98115,47.6901,-122.282,1720,9828
20141031T000000,4,2.5,2570,4480,1.5,0,0,4,8,1580,990,1927,0,98105,47.6701,-122.291,2070,4480
20150408T000000,4,2.5,2320,3974,2.0,0,0,3,7,2320,0,1999,0,98065,47.532,-121.88,2620,4539
20150407T000000,3,2.25,1489,2800,2.0,0,0,3,7,1489,0,2012,0,98002,47.3454,-122.214,1584,2800
20150407T000000,4,1.0,1260,7645,1.5,0,0,3,6,1260,0,1925,0,98146,47.5044,-122.35,1170,7649
20150325T000000,3,1.0,1420,8800,1.0,0,0,4,6,1090,330,1981,0,98030,47.3746,-122.181,1480,8000
20140908T000000,3,2.25,2780,6000,1.0,0,3,4,9,1670,1110,1948,0,98199,47.6442,-122.406,2780,6000
20150226T000000,3,2.25,1420,6600,1.0,0,0,3,7,1160,260,1987,0,98028,47.77,-122.265,1920,7902
20140618T000000,3,1.75,1670,6900,1.0,0,0,3,7,1170,500,1978,0,98023,47.2975,-122.38,1740,7000
20140705T000000,4,2.5,2700,4275,2.0,0,0,3,9,2700,0,2004,0,98115,47.6725,-122.327,1810,4500
20141028T000000,3,2.25,3190,324086,2.0,0,2,3,9,3190,0,1982,0,98024,47.5477,-121.93,3190,217800
20150311T000000,3,1.0,1080,6250,1.0,0,0,2,5,1080,0,1950,0,98168,47.5045,-122.33,1070,6250
20150302T000000,5,2.75,2890,22547,1.0,0,0,4,10,2150,740,1963,0,98040,47.5476,-122.219,3010,17809
20141209T000000,4,2.25,2840,20242,1.0,0,0,3,8,2240,600,1972,0,98004,47.639,-122.216,2840,20372
20150325T000000,4,2.5,2360,9647,1.0,0,2,3,8,1530,830,1964,0,98003,47.3367,-122.332,2580,9680
20140709T000000,5,3.25,3320,11340,2.0,0,0,4,8,2480,840,1999,0,98042,47.3904,-122.154,2330,8339
20140723T000000,4,2.5,2090,4400,2.0,0,0,3,8,2090,0,2011,0,98118,47.5403,-122.286,2090,3430
20140512T000000,4,3.75,3490,9170,2.0,0,0,3,9,3490,0,2012,0,98004,47.5991,-122.2,1810,8470
20150212T000000,4,1.5,1690,9391,1.0,0,0,3,7,1290,400,1960,0,98155,47.7438,-122.329,1780,9390
20140808T000000,4,2.5,3470,20445,2.0,0,0,4,10,3470,0,1963,0,98040,47.547,-122.219,3360,21950
20141029T000000,3,2.25,1780,8050,1.0,0,0,4,7,1230,550,1979,0,98052,47.6977,-122.126,1780,7200
20140705T000000,3,1.75,1470,4950,1.0,0,0,3,7,1030,440,1984,0,98133,47.7325,-122.337,1100,5250
20141111T000000,5,3.25,2400,3118,2.0,0,0,4,7,1780,620,1928,0,98122,47.6094,-122.291,2100,3941
20140910T000000,3,2.25,2140,7200,2.0,0,0,4,7,2140,0,1979,0,98031,47.3913,-122.191,1890,7455
20150421T000000,4,2.5,2830,14538,2.0,0,0,3,8,2830,0,2003,0,98065,47.5405,-121.882,2270,6939
20150205T000000,2,1.0,930,7742,1.0,0,0,3,6,930,0,1933,0,98168,47.507,-122.302,2240,8723
20150507T000000,5,1.75,2690,21357,1.0,0,0,4,7,1420,1270,1952,0,98004,47.5831,-122.191,2600,17539
20150310T000000,4,2.0,2120,6865,1.0,0,0,3,7,1060,1060,1954,0,98133,47.7775,-122.337,1460,7780
20140605T000000,4,2.25,2980,8051,1.5,0,2,4,10,2020,960,1935,0,98199,47.6426,-122.409,2760,5499
20141114T000000,4,2.5,3000,9460,2.0,0,0,3,9,3000,0,2001,0,98031,47.3959,-122.211,3000,8450
20140522T000000,4,2.75,2080,4000,1.5,0,0,3,8,2080,0,1912,2000,98107,47.6737,-122.358,1730,5000
20140812T000000,2,1.0,900,8000,1.0,0,0,4,6,900,0,1954,0,98198,47.4217,-122.317,1240,8000
20140626T000000,3,2.75,2850,14800,1.0,0,0,4,9,1920,930,1976,0,98006,47.559,-122.146,3300,10809
20141114T000000,3,2.5,1090,1139,2.0,0,0,3,8,960,130,2009,0,98126,47.5664,-122.369,1400,1348
20140609T000000,3,1.75,2240,8153,1.0,0,0,3,7,1120,1120,1948,0,98125,47.7303,-122.329,1710,8100
20140520T000000,3,2.0,2010,251341,2.0,0,0,3,8,1510,500,2003,0,98019,47.7416,-121.91,1780,108900
20140722T000000,3,2.0,1690,10062,1.0,0,2,5,7,940,750,1928,0,98178,47.5102,-122.241,2390,6650
20140617T000000,3,1.75,1370,8719,1.0,0,0,3,7,1370,0,1982,0,98042,47.3664,-122.087,1370,7525
20140516T000000,3,2.0,2220,6641,1.0,0,2,4,7,1220,1000,1947,0,98199,47.6426,-122.388,1800,5900
20141218T000000,2,1.5,1000,1075,2.0,0,0,3,7,840,160,2007,0,98144,47.5708,-122.288,1000,1083
20141030T000000,4,2.5,1630,3060,2.0,0,0,3,7,1630,0,2003,0,98146,47.5072,-122.336,1270,4590
20141110T000000,4,2.25,2180,11056,1.0,0,0,3,8,1370,810,1963,0,98004,47.6042,-122.193,2090,8747
20141023T000000,2,1.0,870,4000,1.0,0,2,3,7,870,0,1950,0,98126,47.5682,-122.374,1690,4000
20140820T000000,3,1.75,1480,3900,1.0,0,0,4,7,1480,0,1980,0,98023,47.2977,-122.367,1830,6956
20150128T000000,2,1.0,600,4000,1.0,0,0,3,5,600,0,1933,0,98146,47.5065,-122.339,1290,6973
20140813T000000,4,1.75,1880,12150,1.0,0,0,3,7,1280,600,1976,0,98023,47.3272,-122.363,1980,9680
20141029T000000,3,2.5,2450,28185,2.0,0,0,3,9,2450,0,1990,0,98058,47.4665,-122.122,2440,33541
20141202T000000,3,1.0,940,8377,1.0,0,0,4,7,940,0,1952,0,98004,47.5974,-122.2,1710,6900
20140808T000000,4,2.5,4010,37076,2.0,0,0,4,12,4010,0,1990,0,98052,47.7139,-122.106,4280,35326
20140808T000000,4,1.75,2270,9830,1.0,0,0,4,8,2270,0,1959,0,98005,47.5999,-122.176,2540,11990
20140820T000000,3,1.0,1240,5750,1.0,0,0,4,6,1240,0,1948,0,98116,47.564,-122.398,1240,5750
20141212T000000,2,1.0,1040,4040,1.0,0,0,3,7,940,100,1928,0,98117,47.6829,-122.393,1420,4040
20150116T000000,1,1.0,680,21727,1.0,0,0,3,5,680,0,1952,1995,98058,47.446,-122.175,1470,19406
20150420T000000,4,2.25,2580,8820,1.0,0,0,4,9,1620,960,1967,0,98023,47.3122,-122.376,2140,8400
20141209T000000,4,2.25,2420,15482,2.0,0,0,4,8,2420,0,1925,1997,98004,47.5907,-122.196,2870,13905
20150327T000000,5,2.5,3020,24750,1.0,0,0,3,8,1650,1370,1965,0,98005,47.5897,-122.179,2930,16062
20140701T000000,3,2.25,1460,941,3.0,0,0,3,8,1460,0,2006,0,98133,47.7145,-122.356,1490,1399
20150408T000000,3,1.0,1250,18616,1.0,0,0,4,6,1250,0,1972,0,98010,47.3414,-122.047,1920,15654
20140618T000000,5,1.75,2150,7171,1.0,0,0,4,7,1460,690,1970,0,98031,47.3952,-122.176,1710,7300
20140624T000000,3,2.5,1740,30886,2.0,0,0,3,8,1740,0,1992,0,98045,47.46,-121.707,1740,39133
20140911T000000,6,2.75,4460,6952,2.5,0,2,4,10,3460,1000,1930,0,98105,47.6626,-122.269,2750,4769
20140805T000000,4,2.25,3200,15367,2.0,0,0,4,9,3200,0,1962,0,98040,47.5494,-122.216,3070,15263
20140710T000000,5,2.5,2690,11745,1.0,0,0,3,8,1790,900,1960,0,98177,47.7708,-122.362,2670,7905
20150414T000000,2,1.75,1070,1276,3.0,0,0,3,8,1070,0,2006,0,98107,47.6719,-122.39,1290,2057
20150107T000000,4,2.5,2430,6099,1.0,0,0,5,8,1470,960,1965,0,98115,47.6777,-122.287,2180,6099
20141030T000000,3,2.5,3070,5871,3.0,0,0,4,8,2510,560,1928,0,98178,47.5007,-122.223,2220,4000
20140711T000000,3,1.75,1640,53400,1.0,0,0,4,7,1640,0,1966,0,98070,47.3944,-122.506,1850,380279
20140527T000000,5,1.5,1900,10226,1.0,0,0,3,7,1130,770,1961,0,98034,47.7226,-122.227,1690,10227
20140612T000000,3,3.25,1470,1235,2.0,0,0,3,7,1180,290,2008,0,98108,47.5537,-122.313,1470,1243
20141201T000000,3,1.75,1810,21138,1.0,0,0,4,7,1240,570,1977,0,98058,47.4674,-122.178,1850,12200
20150226T000000,3,2.5,1690,1310,2.0,0,0,3,8,1140,550,2004,0,98136,47.5404,-122.387,1640,1321
20141208T000000,4,3.0,2860,10292,1.0,0,0,4,8,2860,0,1953,1999,98004,47.6286,-122.206,1840,10273
20150422T000000,2,1.0,1310,6600,1.0,0,0,3,6,1310,0,1942,0,98168,47.4834,-122.332,1240,6600
20140528T000000,2,1.0,720,4222,1.0,0,0,4,5,720,0,1942,0,98056,47.4965,-122.186,860,4785
20140812T000000,4,3.0,3140,9058,1.0,0,0,3,9,2140,1000,1989,0,98006,47.5462,-122.154,2760,10018
20150319T000000,4,2.25,1830,7200,2.0,0,2,3,8,1750,80,1923,0,98112,47.6315,-122.282,3100,7200
20150408T000000,2,1.0,930,2600,1.0,0,0,3,7,930,0,1981,0,98034,47.7242,-122.161,1370,3488
20150127T000000,4,3.5,4870,39190,2.0,0,0,3,12,4870,0,1995,0,98006,47.5447,-122.124,5000,33880
20140723T000000,3,3.0,3290,80471,2.0,0,2,4,8,2330,960,1975,0,98070,47.504,-122.464,1830,30494
20140813T000000,6,3.5,2400,8620,2.0,0,0,3,8,1640,760,1987,0,98034,47.7152,-122.162,1940,7350
20140924T000000,4,1.75,2210,6375,1.0,0,0,3,8,1640,570,1977,0,98003,47.3268,-122.328,2070,7210
20140721T000000,2,1.0,820,6366,1.0,0,0,5,6,820,0,1952,0,98133,47.7512,-122.34,1580,10169
20141118T000000,3,1.75,2000,6130,1.0,0,0,4,8,1120,880,1951,0,98117,47.6925,-122.388,2140,7150
20140723T000000,4,2.5,3170,4979,2.0,0,0,4,7,2570,600,1925,0,98103,47.6655,-122.34,2060,5000
20141010T000000,4,2.5,1970,7098,2.0,0,0,3,7,1970,0,2007,0,98038,47.3576,-122.058,1970,5361
20141211T000000,2,1.75,1390,4160,1.0,0,0,5,6,790,600,1916,0,98105,47.6681,-122.324,1090,4160
20140808T000000,5,4.0,3400,5000,2.0,0,0,3,8,2320,1080,1900,2013,98107,47.6655,-122.363,1910,5000
20140815T000000,4,2.5,2500,10330,2.0,0,0,3,10,2500,0,1992,0,98006,47.5595,-122.114,2710,8375
20150329T000000,3,1.0,1390,21262,1.0,0,0,3,7,1390,0,1958,0,98058,47.4454,-122.185,1560,10800
20140926T000000,4,2.5,2835,6598,2.0,0,0,3,8,2835,0,2002,0,98038,47.3878,-122.034,2770,6969
20150424T000000,2,1.5,1160,982,2.0,0,0,3,7,890,270,2006,0,98155,47.7675,-122.315,1160,1008
20150508T000000,4,3.0,3150,6599,2.0,0,0,3,9,3150,0,2008,0,98056,47.5279,-122.199,2680,9430
20141210T000000,3,2.5,1940,8196,2.0,0,0,3,8,1940,0,1991,0,98052,47.6786,-122.151,2070,8514
20140603T000000,5,3.5,3490,9680,2.0,0,4,3,9,2460,1030,1980,0,98177,47.7757,-122.391,3080,13489
20150323T000000,3,2.5,2320,5284,2.0,0,0,3,8,2320,0,2004,0,98075,47.591,-122.017,2320,4383
20140512T000000,4,2.75,3300,12090,2.0,0,0,3,8,3300,0,1953,0,98004,47.6294,-122.218,3180,12239
20141020T000000,4,2.25,3680,26266,2.0,0,0,4,9,3680,0,1981,0,98042,47.3219,-122.085,2340,19939
20141206T000000,3,3.5,2710,3326,2.0,0,0,3,8,1650,1060,2005,0,98027,47.5371,-122.073,2280,2738
20150428T000000,5,2.5,2030,8400,1.0,0,0,3,7,1330,700,1968,0,98052,47.6713,-122.152,1920,8400
20140710T000000,4,2.5,2870,8995,1.0,0,0,5,8,1870,1000,1968,0,98006,47.5678,-122.128,2670,9672
20141114T000000,3,1.75,1560,10919,1.0,0,0,3,7,1560,0,1975,0,98023,47.2917,-122.366,1730,10919
20141204T000000,5,2.5,2100,17825,1.0,0,0,4,7,1400,700,1974,0,98092,47.3094,-122.191,2200,14602
20150423T000000,4,3.25,4130,11444,2.0,0,0,3,11,4130,0,2001,0,98059,47.5208,-122.15,3720,11431
20141015T000000,3,3.25,1510,1245,3.0,0,0,3,7,1510,0,2007,0,98133,47.7293,-122.343,1510,1245
20141124T000000,4,2.5,3410,179419,2.0,0,0,3,10,3410,0,2004,0,98010,47.3602,-121.986,3350,175421
20150211T000000,3,2.5,1750,6725,1.0,0,0,3,7,1330,420,1993,0,98038,47.352,-122.058,1670,7744
20140709T000000,4,3.75,4260,9800,2.0,0,0,3,10,4260,0,2008,0,98033,47.6739,-122.172,1950,8970
20140709T000000,4,2.0,2030,8426,2.0,0,0,3,7,2030,0,1944,0,98168,47.4806,-122.287,1190,7007
20140828T000000,4,1.0,1220,11730,1.0,0,0,4,7,1220,0,1960,0,98001,47.3229,-122.283,1270,9520
20140502T000000,3,1.75,1710,7320,1.0,0,0,3,7,1710,0,1948,0,98155,47.7512,-122.281,2260,8839
20140619T000000,3,2.0,2140,7200,1.0,0,0,4,8,1480,660,1966,0,98056,47.5084,-122.185,2070,7220
20150414T000000,3,1.0,1420,11040,1.0,0,0,4,7,1420,0,1961,0,98007,47.5969,-122.14,1530,8208
20150212T000000,4,2.0,1920,4822,1.0,0,0,2,6,920,1000,1914,0,98136,47.5507,-122.381,1120,4822
20140823T000000,4,2.25,2860,5658,2.0,0,3,3,10,2130,730,1933,0,98199,47.6395,-122.409,2700,5221
20140715T000000,5,2.5,2890,5110,2.0,0,2,3,9,2890,0,2003,0,98029,47.5453,-121.995,3010,5110
20140812T000000,6,3.25,2120,6893,1.0,0,0,4,7,1060,1060,1983,0,98106,47.5508,-122.355,1380,6986
20140603T000000,3,2.0,2060,4040,1.0,0,0,4,8,1120,940,1947,0,98103,47.6798,-122.352,1500,4000
20140922T000000,4,1.75,1680,9966,1.0,0,0,3,7,1100,580,1977,0,98198,47.3923,-122.311,2400,10369
20140617T000000,3,1.5,1880,7400,1.0,0,0,3,8,1480,400,1968,0,98155,47.7743,-122.27,1820,8660
20140820T000000,3,1.0,1780,6840,2.0,0,0,4,6,1780,0,1947,0,98125,47.727,-122.3,1410,7200
20141119T000000,3,2.5,2350,4975,2.0,0,0,3,8,2350,0,2012,0,98029,47.5418,-122.01,2350,3951
20150505T000000,4,2.5,2960,5027,2.0,0,0,3,7,2960,0,2000,0,98065,47.5328,-121.881,2760,5500
20150410T000000,2,1.0,2160,7439,1.0,0,0,4,6,1300,860,1953,0,98115,47.6981,-122.286,1680,7439
20140904T000000,3,2.0,1760,9900,1.0,0,0,4,7,1760,0,1943,0,98166,47.4783,-122.338,1190,9900
20140505T000000,3,2.0,1800,5000,1.0,0,0,4,7,1080,720,1942,0,98115,47.6738,-122.297,1800,5000
20141111T000000,3,2.5,1790,6191,2.0,0,0,3,8,1790,0,1992,0,98031,47.4102,-122.195,1790,6758
20140507T000000,3,2.0,1570,7200,1.0,0,0,4,7,1570,0,1952,0,98155,47.7501,-122.314,1410,7434
20150416T000000,5,3.5,2815,5619,2.0,0,0,3,9,2815,0,2012,0,98055,47.4299,-122.207,2583,5295
20141017T000000,3,2.5,1190,1290,3.0,0,0,3,8,1190,0,2008,0,98107,47.6762,-122.378,1410,1923
20150320T000000,3,1.5,1900,5250,1.0,0,0,4,7,1500,400,1943,0,98117,47.6991,-122.392,1810,5250
20141202T000000,2,2.25,850,1656,2.0,0,0,3,8,850,0,2001,0,98133,47.7064,-122.344,850,1312
20150313T000000,2,1.0,1070,5000,1.0,0,0,3,7,1070,0,1924,0,98103,47.6631,-122.337,1400,4000
20141006T000000,4,2.5,3320,244807,2.0,0,0,3,9,3320,0,2001,0,98010,47.3637,-121.955,2530,217800
20141121T000000,2,1.0,900,8556,1.0,0,0,3,6,760,140,1941,0,98136,47.5148,-122.386,1500,8556
20140819T000000,3,1.75,2520,5043,1.0,0,0,3,8,1260,1260,1957,0,98126,47.5339,-122.372,1360,4920
20150511T000000,2,2.5,1680,977,3.0,0,0,3,9,1680,0,2009,0,98119,47.632,-122.361,1680,977
20140912T000000,2,2.0,1300,4659,1.0,0,0,3,8,1300,0,2005,0,98053,47.7132,-122.033,1640,4780
20140925T000000,3,2.5,3570,35271,2.0,0,0,3,9,3570,0,1997,0,98027,47.4782,-122.035,3510,37194
20141202T000000,2,1.5,830,1077,2.0,0,0,3,7,830,0,2006,0,98122,47.6058,-122.319,830,1366
20150202T000000,3,1.0,1190,5100,1.0,0,0,4,7,1030,160,1941,0,98136,47.5346,-122.385,1690,5100
20140714T000000,3,1.75,2000,9760,1.0,0,0,4,8,1400,600,1978,0,98058,47.4417,-122.134,1890,8089
20140513T000000,5,3.25,4860,23723,2.0,0,2,4,11,3820,1040,1989,0,98040,47.5767,-122.215,4040,13860
20150124T000000,4,4.5,4060,10800,2.0,0,0,3,10,4060,0,2007,0,98188,47.4241,-122.29,1830,9768
20141209T000000,3,2.0,1170,6750,1.0,0,0,5,7,800,370,1947,0,98115,47.6752,-122.281,1330,6750
20150116T000000,4,2.75,4020,18745,2.0,0,4,4,10,2830,1190,1989,0,98004,47.6042,-122.21,3150,20897
20140929T000000,5,3.5,3870,65556,2.0,0,0,3,10,3870,0,1994,0,98053,47.6403,-121.992,4290,67019
20150313T000000,3,1.0,1200,15960,1.5,0,0,3,6,1200,0,1945,0,98125,47.7163,-122.299,1120,7800
20141107T000000,3,1.75,1770,8571,1.0,0,0,3,8,1270,500,1978,0,98023,47.3109,-122.339,2120,7711
